Pulse,21012,SHA-256D,PoS
Number7,21017,Scrypt,PoW
Cygnus,21213,X11,PoW/PoS
LGBTQoin,21215,X11,PoW
Uther,21219,Dagger,PoW
MediumProject,21222,PoS,PoW
KATZcoin,21224,SHA-256D,PoW/PoS
404Coin,21227,Scrypt,PoW/PoS
Supreme,21229,Scrypt,PoW/PoS
Mojocoin,21232,PoS,PoS
Bela,21239,N/A,N/A
Flash,21244,Scrypt,PoW/PoS
BolivarCoin,21357,X11,PoW
CludCoin,21359,Scrypt,PoW
DimeCoin,21365,Quark,PoW
FlyCoin,21370,X13,PoS
High Voltage Coin,21374,SHA-256,PoW/PoS
GIZMOcoin,21378,X11,PoW/PoS
GrexitCoin,21380,N/A,PoS
Carboncoin,21382,Scrypt,PoW
DigiEuro,21384,Scrypt,PoW
Turron,21626,N/A,PoS
LemonCoin,21641,N/A,PoW
Dark Lisk,21652,X11,PoW/PoS
NevaCoin,21669,N/A,PoW/PoS
Cryptokenz,21706,PoS,PoS
Fuzzballs,21708,Scrypt,PoW
Nukecoinz,21710,Scrypt,PoW
SecretCoin,21760,X11,PoW/PoS
Ratecoin,21770,X11,PoW/PoS
XanaxCoin,21773,Scrypt,PoW
Stakerush,21833,PoS,PoS
BonesCoin,21869,Scrypt,PoS
WMCoin,21871,X11,PoS
GothicCoin,21875,Scrypt,PoW
FlavorCoin,21878,SHA-256,PoW/PoS
ShrekCoin,21907,Scrypt,PoW/PoS
Revenu,22169,SHA-256,PoW/PoS
PabyosiCoin,22171,X11,PoW/PoS
Obscurebay,22177,X11,PoW/PoS
ExitCoin,22180,Scrypt,PoW/PoS
EducoinV,22185,Scrypt,PoW/PoS
Clinton,22191,SHA-256,PoW
Clockcoin,22207,SHA-256,PoW/PoS
VIP Tokens,22212,NIST5,PoW/PoS
NXEcoin,22240,NIST5,PoW/PoS
ZoomCoin,22245,Lyra2RE,PoW
DT Token,22248,N/A,N/A
YobitVirtualCoin,22254,SHA-256,PoS
OrlyCoin,22258,X15,PoW/PoS
KubosCoin,22262,Scrypt,PoW/PoS
InceptionCoin,22264,X11,PoW/PoS
SharkCoin,22268,SHA-256,PoW
EvilCoin,22272,X11,PoW/PoS
OmegaCoin,22280,X15,PoW/PoS
